Path,ClientComputerName,ClientUserName
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting,10.210.114.118,UK\s8117068
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting,10.210.114.97,UK\s8117068
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting,10.212.161.100,UK\gawadeg
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\201401,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\201402,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\201403,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\201404,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\201405,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\201406,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\201407,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\201408,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\201409,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\ESTMUG,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200511,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200512,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200512\Archive,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200601,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200602,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200603,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200604,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200605,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200606,10.64.194.153,UK\sumanan
